age_under_17_mean,17_to_21_mean,older_than_21_mean,age_under_17_std,17_to_21_std,older_than_21_std
18.6872,17.6145,8.4612,31.3787,37.6798,33.8901
19.4858,18.8379,8.8671,33.7134,37.6621,32.2945
19.5075,18.8805,8.9969,34.1397,37.0248,30.6996
18.8918,18.0287,8.7753,32.4139,35.2592,29.0228
17.8135,16.6275,8.3336,29.4395,32.8619,27.4124
16.7263,15.0335,7.6728,26.2842,30.6463,25.9674
15.4473,13.6086,6.7922,24.0276,29.0029,24.91
14.0928,12.564,5.7689,22.7836,28.1856,23.8173
12.5943,11.9804,4.6068,22.9918,28.0875,22.7512
10.3597,11.7075,3.3171,26.0697,29.8244,22.7168
